id,departement,circonscription,numPanneau,nomCandidat,prenomCandidat,civiliteCandidat,codeNuance,libelleNuance
1,01,0101,1,LAHY,Éric,M.,EXG,Extrême gauche
2,01,0101,2,MAÎTRE,Christophe,M.,RN,Rassemblement National
3,01,0101,3,BRETON,Xavier,M.,LR,Les Républicains
4,01,0101,4,GUERAUD,Sébastien,M.,UG,Union de la gauche
5,01,0101,5,VINCENT,Cyril,M.,DSV,Droite souverainiste
6,01,0101,6,MENDES,Michael,M.,DSV,Droite souverainiste
7,01,0101,7,GUILLERMIN,Vincent,M.,ENS,Ensemble ! (Majorité présidentielle)
8,01,0102,1,KOTARAC,Andréa,M.,RN,Rassemblement National
9,01,0102,2,DAUBIÉ,Romain,M.,DVC,Divers centre
10,01,0102,3,EYRAUD,Olivier,M.,EXD,Extrême droite
11,01,0102,4,GOUTAGNY,Vincent,M.,EXG,Extrême gauche
12,01,0102,5,MEYER,Maxime,M.,UG,Union de la gauche
13,01,0102,6,NANCHI,Alexandre,M.,LR,Les Républicains
14,01,0103,1,GIVERNET,Olga,Mme,ENS,Ensemble ! (Majorité présidentielle)
15,01,0103,2,JOLIE,Christian,M.,UG,Union de la gauche
16,01,0103,3,VEILLEROT,Annick,Mme,DSV,Droite souverainiste
17,01,0103,4,MAISONNETTE,Cécile,Mme,EXG,Extrême gauche
18,01,0103,5,UNAL,Khadija,Mme,LR,Les Républicains
19,01,0103,6,DUBARRY,Karine,Mme,RN,Rassemblement National
20,01,0103,7,TONIZZO,Sofia,Mme,DIV,Divers
21,01,0103,8,KOUASSI,Fulgence,M.,DIV,Divers
22,01,0104,1,LIOTIER,Charline,Mme,UG,Union de la gauche
23,01,0104,2,BRESSON,Yannick,M.,DIV,Divers
24,01,0104,3,NICAUD,Jérémy,M.,DIV,Divers
25,01,0104,4,COUSSON,Sylvain,M.,EXG,Extrême gauche
26,01,0104,5,COQUELET,Christophe,M.,ENS,Ensemble ! (Majorité présidentielle)
27,01,0104,6,BUISSON,Jérôme,M.,RN,Rassemblement National
28,01,0104,7,BILLOUDET,Guy,M.,LR,Les Républicains
29,01,0105,1,CHATELARD,Thomas,M.,ECO,Ecologistes
30,01,0105,2,CROZET,Sylvie,Mme,EXG,Extrême gauche
31,01,0105,3,BOURDIN,Fabrice,M.,LR,Les Républicains
32,01,0105,4,PISANI,Florence,Mme,UG,Union de la gauche
33,01,0105,5,ABAD,Damien,M.,DVD,Divers droite
34,01,0105,6,DESCOURS,Nathalie,Mme,ENS,Ensemble ! (Majorité présidentielle)
35,01,0105,7,PATRU,Maria Cristina,Mme,REC,Reconquête !
36,01,0105,8,CHAVENT,Marc,M.,UXD,Union de l'extrême droite
37,02,0201,1,CULIOLI,Charles,M.,UG,Union de la gauche
38,02,0201,2,TRÉGUIER,Philippe,M.,REC,Reconquête !
39,02,0201,3,BOUFFLET,Matthieu Léon,M.,DIV,Divers
40,02,0201,4,DRAGON,Nicolas,M.,RN,Rassemblement National
41,02,0201,5,PERNELLE,Jean-Loup,M.,EXG,Extrême gauche
42,02,0201,6,DELAVENNE,Damien,M.,ENS,Ensemble ! (Majorité présidentielle)
43,02,0202,1,DIVE,Julien,M.,LR,Les Républicains
44,02,0202,2,BÉCOURT,Corinne,Mme,EXG,Extrême gauche
45,02,0202,3,DUJANCOURT,Anne-Sophie,Mme,UG,Union de la gauche
46,02,0202,4,ZANDITÉNAS,Anne-Catherine,Mme,EXG,Extrême gauche
47,02,0202,5,TORRE,Philippe,M.,RN,Rassemblement National
48,02,0202,6,KACZMAREK,Didier,M.,REC,Reconquête !
49,02,0203,1,FOURNIER,Anne-Marie,Mme,REC,Reconquête !
50,02,0203,2,CRÉON,Damien,M.,DSV,Droite souverainiste
51,02,0203,3,BRICOUT,Jean-Louis,M.,DVG,Divers gauche
52,02,0203,4,VOISIN,Laetitia,Mme,EXG,Extrême gauche
53,02,0203,5,CASTERMAN,Eddy,M.,EXD,Extrême droite
54,02,0204,1,PRIÉ,Lola,Mme,UG,Union de la gauche
55,02,0204,2,MAURICE,Benjamin,M.,ENS,Ensemble ! (Majorité présidentielle)
56,02,0204,3,BEAURAIN,José,M.,RN,Rassemblement National
57,02,0204,4,BOUILLAGUET,Flora,Mme,EXG,Extrême gauche
58,02,0204,5,GOUJARD,Philippe,M.,EXD,Extrême droite
59,02,0205,1,DESSIGNY,Jocelyn,M.,RN,Rassemblement National
60,02,0205,2,GILQUIN,Jade,Mme,LR,Les Républicains
61,02,0205,3,BELAÏD,Karim,M.,UG,Union de la gauche
62,02,0205,4,ROUSSEL,Jeanne,Mme,ENS,Ensemble ! (Majorité présidentielle)
63,02,0205,5,MERBOUCHE,Yona,Mme,EXG,Extrême gauche
64,03,0301,1,AGEZ,Blandine,Mme,REC,Reconquête !
65,03,0301,2,MONNET,Yannick,M.,UG,Union de la gauche
66,03,0301,3,GUILLAUMIN,Jean-Marie,M.,UDI,Union des Démocrates et Indépendants
67,03,0301,4,COLLOT,Jean-Marc,M.,EXG,Extrême gauche
68,03,0301,5,LARZAT,Stephane,M.,ENS,Ensemble ! (Majorité présidentielle)
69,03,0301,6,BARDET,Alexandra,Mme,LR,Les Républicains
70,03,0301,7,THÈS,Anne-Marie,Mme,RN,Rassemblement National
71,03,0302,1,BOVET,Jorys,M.,RN,Rassemblement National
72,03,0302,2,LEFEBVRE,Romain,M.,LR,Les Républicains
73,03,0302,3,HERITIER,Louise,Mme,UG,Union de la gauche
74,03,0302,4,GONÇALVES,Alice,Mme,REC,Reconquête !
75,03,0302,5,ROUSSEAUX,Nicolas,M.,DVD,Divers droite
76,03,0302,6,VANCEUNEBROCK,Laurence,Mme,ENS,Ensemble ! (Majorité présidentielle)
77,03,0302,7,LEBEL,Bernard,M.,EXG,Extrême gauche
78,03,0303,1,RAY,Nicolas,M.,LR,Les Républicains
79,03,0303,2,QUENEY,Rémy,M.,RN,Rassemblement National
80,03,0303,3,RAMEAU,Jean-François,M.,EXG,Extrême gauche
81,03,0303,4,JEUDI,Aline,Mme,UG,Union de la gauche
82,04,0401,1,LAKHLEF TSALAMLAL,Nadia,Mme,UDI,Union des Démocrates et Indépendants
83,04,0401,2,RAPONI,Sandra,Mme,LR,Les Républicains
84,04,0401,3,ROS,Annabel,Mme,EXG,Extrême gauche
85,04,0401,4,CAMPART,Patricia,Mme,REC,Reconquête !
86,04,0401,5,GIRARD,Christian,M.,RN,Rassemblement National
87,04,0401,6,BLANC,Felix,M.,UG,Union de la gauche
88,04,0401,7,GAUVAN,Benoit,M.,ENS,Ensemble ! (Majorité présidentielle)
89,04,0402,1,REYNAUD,Loan,M.,DVD,Divers droite
90,04,0402,2,VAGINAY,Sophie,Mme,UXD,Union de l'extrême droite
91,04,0402,3,CYVOCT,Henri,M.,EXG,Extrême gauche
92,04,0402,4,WALTER,Léo,M.,UG,Union de la gauche
93,04,0402,5,BLANC,Dominique,Mme,ENS,Ensemble ! (Majorité présidentielle)
94,04,0402,6,CADENEL,Myriam,Mme,REC,Reconquête !
95,05,0501,1,SAINTE-MARIE,Jérôme,M.,RN,Rassemblement National
96,05,0501,2,BOYER,Pascale,Mme,ENS,Ensemble ! (Majorité présidentielle)
97,05,0501,3,ALLEMAND,Marie-José,Mme,UG,Union de la gauche
98,05,0501,4,BUISSON,Véronique,Mme,EXG,Extrême gauche
99,05,0501,5,DEININGER,Dorian,M.,LR,Les Républicains
100,05,0502,1,GUIGNARD,Boris,M.,EXG,Extrême gauche
101,05,0502,2,FINE,Sébastien,M.,ENS,Ensemble ! (Majorité présidentielle)
102,05,0502,3,ROSSI,Valérie,Mme,UG,Union de la gauche
103,05,0502,4,MONDAIN,Johann,M.,DIV,Divers
104,05,0502,5,ALBRAND,Louis,M.,RN,Rassemblement National
105,06,0601,1,SALERNO,Olivier,M.,UG,Union de la gauche
106,06,0601,2,BOVIS,Maxime,M.,DIV,Divers
107,06,0601,3,BEN MOULAY,Lalla Chama,Mme,ECO,Ecologistes
108,06,0601,4,MONETTI,Graig,M.,ENS,Ensemble ! (Majorité présidentielle)
109,06,0601,5,LANGOUET,Alain,M.,EXG,Extrême gauche
110,06,0601,6,SPACH,Jean-Claude Wahid,M.,REG,Régionaliste
111,06,0601,7,CIOTTI,Eric,M.,UXD,Union de l'extrême droite
112,06,0601,8,VANIER-GUÉRIN,Virgile,M.,LR,Les Républicains
113,06,0602,1,TONNERRE,Leïla,Mme,UG,Union de la gauche
114,06,0602,2,VARRONE,David,M.,ENS,Ensemble ! (Majorité présidentielle)
115,06,0602,3,PORET-RINCK,Indiana,Mme,EXD,Extrême droite
116,06,0602,4,IMBERT,Florent,M.,EXG,Extrême gauche
117,06,0602,5,MIRAN,Patrice,M.,ECO,Ecologistes
118,06,0602,6,DARAGON,Simon,M.,LR,Les Républicains
119,06,0602,7,TIVOLI,Lionel,M.,RN,Rassemblement National
120,06,0603,1,JAQUET,Estelle,Mme,EXG,Extrême gauche
121,06,0603,2,DELHEZ,Thibault,M.,DSV,Droite souverainiste
122,06,0603,3,QUIGNARD,Laure,Mme,UG,Union de la gauche
123,06,0603,4,CHAIX,Bernard,M.,UXD,Union de l'extrême droite
124,06,0603,5,PRADAL,Philippe,M.,ENS,Ensemble ! (Majorité présidentielle)
125,06,0603,6,CAUSSIN,Marie Françoise,Mme,ECO,Ecologistes
126,06,0603,7,VIVO,Marjorie,Mme,ECO,Ecologistes
127,06,0604,1,MASSON,Alexandra,Mme,RN,Rassemblement National
128,06,0604,2,BEYL,Christine,Mme,ECO,Ecologistes
129,06,0604,3,GUEDON,Anne-Pascale,Mme,ENS,Ensemble ! (Majorité présidentielle)
130,06,0604,4,MARKIEL,Joseph,M.,EXG,Extrême gauche
131,06,0604,5,PARENT,Virginie,Mme,UG,Union de la gauche
132,06,0605,1,NOFRI,Gaël,M.,ENS,Ensemble ! (Majorité présidentielle)
